      ,      ,      ,      ,          ,
     z,    TX,  e_TX,  E_TX,      L500,L500 Corrected
------,------,------,------,----------,----------
0.17,1.50,0.1,0.1,0.22509,
0.21,1.50,0.2,0.3,0.169811,
0.25,1.50,0.2,0.4,0.109373,
0.35,1.50,0.2,0.3,0.095003,
0.56,-99,-99,-99,-99,
0.39,1.50,0.1,0.3,0.293591,
0.4,1.60,0.2,0.2,0.116425,
0.15,1.60,0.3,0.5,0.075644,
0.17,-99,-99,-99,-99,
0.2,-99,-99,-99,-99,
0.28,1.60,0.5,1,0.141682,
0.32,1.60,0.4,2.4,0.15974,
0.17,1.60,0.4,0.4,0.250248,
0.12,1.60,0.3,0.4,0.077794,
0.19,1.60,0.4,1.2,0.055068,
0.21,1.60,0.1,0.1,0.104157,
0.27,1.60,0.3,0.4,0.07194,
0.14,1.60,0.3,0.6,0.08389,
0.13,1.60,0.2,0.3,0.065236,
0.08,1.66,0.04,0.04,0.156719,
0.17,1.70,0.4,1.5,0.083598,
0.2,1.70,0.2,0.2,0.108322,
0.37,-99,-99,-99,-99,
0.31,1.70,0.2,0.4,0.155527,
0.69,-99,-99,-99,-99,
0.11,1.70,0.3,0.5,0.029896,
0.13,1.70,0.1,0.1,0.081683,
-99,-99,-99,-99,-99,
1.27,1.70,0.3,0.5,0.324278,
0.47,1.70,0.5,1.4,0.122005,
0.5,1.70,0.4,1.1,0.172801,
0.44,1.70,0.2,0.6,0.870186,
0.53,1.70,0.2,0.2,0.30092,
0.41,1.70,0.3,0.4,0.235477,
0.44,-99,-99,-99,-99,
0.11,-99,-99,-99,-99,
0.19,1.70,0.2,0.2,0.524868,
0.34,1.70,0.2,0.2,0.402224,
0.23,1.70,0.2,0.3,0.124531,
0.49,-99,-99,-99,-99,
0.08,1.80,0.2,0.4,0.06559,
0.12,1.80,0.1,0.3,0.176699,
0.12,1.80,0.1,0.2,0.061782,
0.11,1.80,0.6,1.6,0.380075,
-99,-99,-99,-99,-99,
0.22,1.80,0.3,0.4,0.127175,
0.16,1.80,0.1,0.2,0.202712,
0.58,-99,-99,-99,-99,
0.07,1.80,0.5,1,0.064735,
-99,-99,-99,-99,-99,
0.42,1.80,0.4,0.8,0.465261,
0.18,1.80,0.4,0.8,0.028601,
0.65,1.80,0.5,1.3,0.294825,
0.19,-99,-99,-99,-99,
0.35,1.80,0.2,0.4,0.421972,
0.21,1.80,0.1,0.3,0.189173,
0.1,1.80,0.3,0.4,0.043794,
0.49,1.80,0.1,0.3,0.969035,
0.66,1.90,0.3,0.7,1.27744,
0.31,1.90,0.6,1.3,0.639425,
0.19,1.90,0.2,0.3,0.244512,
0.1,1.90,0.2,0.3,0.245463,
0.36,2.00,0.4,0.9,0.805044,
0.32,2.00,0.7,1.1,0.122355,
0.41,2.00,0.5,0.7,0.192059,
0.83,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.28,2.00,0.4,0.6,0.252,
0.48,2.00,0.2,0.2,0.269001,
0.13,-99,-99,-99,-99,
0.14,2.00,0.4,0.3,0.196035,
0.19,2.00,0.4,0.5,0.227571,
0.3,2.00,0.6,0.8,0.259593,
0.33,2.00,0.3,0.6,0.385132,
0.44,2.00,0.3,0.5,0.237561,
0.33,2.10,0.4,0.8,0.116395,
0.3,2.10,0.8,2.1,0.167118,
0.15,2.10,0.5,0.7,0.288631,
0.25,2.10,0.5,1.1,0.414658,
0.49,2.10,0.4,0.6,2.02141,
0.93,2.10,0.6,1.9,0.30691,
0.27,2.10,0.3,0.5,1.15665,
0.23,2.10,0.3,0.3,0.226417,
0.28,2.10,0.8,1.3,0.141765,
0.52,-99,-99,-99,-99,
0.41,2.10,0.8,2,0.881586,
0.11,2.10,0.4,0.5,0.119734,
0.2,2.10,0.8,1.5,0.29169,
0.91,-99,-99,-99,-99,
0.44,-99,-99,-99,-99,
0.37,2.20,0.4,0.7,0.907236,
0.76,2.20,0.4,0.6,0.640153,
0.34,2.20,0.1,0.2,0.292668,
0.29,2.20,0.4,0.5,0.1633,
0.44,2.20,0.6,1,0.364051,
0.44,2.30,0.3,1.1,0.431202,
1.19,2.30,0.5,0.9,12.871,
0.43,2.30,0.2,0.3,0.673377,
0.08,2.30,0.7,1.3,0.013223,
0.32,2.30,0.5,0.9,0.942806,
0.46,2.30,0.5,1,0.426614,
0.34,2.30,0.4,0.5,0.437507,
0.24,2.30,0.3,0.5,0.837463,
0.17,2.30,1.1,2.3,0.034644,
0.2,2.30,0.5,1.3,0.085405,
0.29,2.30,0.7,3.1,0.399505,
0.52,2.30,0.6,1.4,0.885,
0.2,2.30,0.4,0.6,0.201065,
0.27,2.40,0.6,1.2,0.287551,
0.22,2.40,0.4,0.4,0.729602,
0.33,2.40,0.5,0.9,0.300318,
0.67,-99,-99,-99,-99,
0.47,2.40,0.3,0.3,1.25648,
0.49,-99,-99,-99,-99,
0.59,2.40,0.5,1,1.74143,
0.65,2.40,0.3,0.6,2.02769,
0.83,2.40,0.4,0.6,0.830947,
0.37,2.50,0.4,0.6,0.630157,
0.55,-99,-99,-99,-99,
0.88,2.50,0.7,2.7,2.8888,
0.33,2.50,0.4,0.6,0.86986,
0.36,-99,-99,-99,-99,
0.64,2.50,0.8,2.1,0.504986,
0.22,2.50,0.5,1.1,0.247348,
0.37,2.50,0.2,0.3,0.510786,
0.3,2.50,0.3,0.4,0.423,
0.13,2.50,0.3,0.4,0.305021,
0.47,-99,-99,-99,-99,
0.45,2.50,0.3,0.6,0.574731,
0.19,2.50,0.3,0.3,0.515665,
0.24,2.50,0.3,0.3,1.67322,
0.27,2.50,0.9,2,0.252327,
0.49,-99,-99,-99,-99,
0.08,-99,-99,-99,-99,
0.14,2.50,0.4,0.5,0.581282,
0.42,2.50,0.6,1.1,0.121169,
0.25,2.60,0.5,0.5,1.07985,
0.13,-99,-99,-99,-99,
0.16,2.60,1.1,2.6,0.139166,
0.33,2.60,0.4,0.7,0.462462,
0.24,-99,-99,-99,-99,
0.43,2.60,0.5,0.3,0.586409,
0.21,2.60,0.1,0.1,2.36936,
0.35,-99,-99,-99,-99,
0.48,2.60,0.7,0.9,0.475385,
0.17,2.60,1,2.6,0.022191,
0.37,2.60,0.9,1.7,1.01049,
0.27,2.70,0.6,1,0.364462,
0.52,2.70,0.7,1.3,0.574049,
0.16,2.70,0.6,1,0.272607,
0.43,2.70,0.6,1,1.62253,
0.18,2.70,0.4,0.6,0.129419,
0.19,2.70,0.5,0.7,0.431941,
0.21,2.70,0.4,0.5,0.68793,
0.11,2.70,0.2,0.1,0.710554,
0.21,2.80,0.6,0.8,0.501582,
0.18,2.80,0.6,1.2,0.119903,
0.32,2.80,0.8,1.2,0.819687,
1.12,2.80,1.3,2.7,2.25395,
-99,-99,-99,-99,-99,
0.24,2.80,0.2,0.2,1.08331,
0.24,2.80,0.2,0.2,0.971303,
0.12,2.90,0.6,1.9,0.086978,
0.43,2.90,0.6,0.8,0.853547,
-99,-99,-99,-99,-99,
0.23,2.90,0.4,0.5,0.726273,
0.44,2.90,0.9,1.9,0.507675,
0.17,2.90,1.1,2.5,0.041692,
0.21,-99,-99,-99,-99,
0.59,2.90,0.7,1.1,0.342432,
0.3,2.90,0.3,0.4,0.8202,
0.42,2.90,0.4,0.4,2.40216,
0.49,2.90,1.1,1.4,0.452549,
0.61,-99,-99,-99,-99,
0.07,3.00,0.4,0.5,0.090621,
0.23,3.00,0.6,0.8,0.35158,
0.15,3.00,1,2.7,0.091036,
0.11,3.00,0.4,0.6,0.646757,
0.55,3.00,0.8,1.6,1.1382,
0.14,-99,-99,-99,-99,
0.53,3.00,0.4,0.5,2.59585,
0.41,3.10,0.5,0.6,0.645202,
0.5,3.10,0.9,1.4,0.680183,
0.09,3.10,0.9,1.5,0.385068,
0.66,-99,-99,-99,-99,
0.44,-99,-99,-99,-99,
0.15,3.20,0.6,0.6,0.591597,
0.83,3.20,0.4,0.5,1.35188,
0.27,3.20,1.1,2.3,0.394433,
0.13,3.20,0.4,0.5,0.288725,
0.17,3.20,1.4,3.2,0.112581,
0.54,3.20,0.6,0.8,0.675276,
0.82,3.20,1.4,2.3,1.32884,
0.29,3.20,0.8,0.9,0.307346,
0.24,3.20,0.2,0.2,1.66943,
-99,-99,-99,-99,-99,
0.14,3.20,0.1,0.1,4.43742,
-99,-99,-99,-99,-99,
0.19,-99,-99,-99,-99,
0.27,3.20,0.8,1,0.683534,
0.14,-99,-99,-99,-99,
0.49,3.30,0.6,0.9,0.683179,
0.63,3.30,0.5,0.7,0.875333,
0.29,-99,-99,-99,-99,
0.43,3.30,0.6,0.9,0.807097,
0.22,3.30,0.2,0.2,0.95348,
0.52,3.30,0.3,0.3,1.22682,
0.61,3.30,0.5,0.6,1.0753,
0.41,3.30,0.7,1.1,0.643687,
0.22,3.30,1.7,2.7,0.15266,
0.61,3.30,1.2,1.3,0.938275,
0.38,3.30,0.9,1.5,0.273762,
0.17,3.40,0.8,1.3,0.243211,
0.25,3.40,0.5,0.7,0.847612,
0.3,3.40,1.2,4,0.029243,
0.5,3.40,0.8,1.8,0.538589,
0.27,3.40,0.8,1.1,1.01915,
0.19,3.40,0.7,1,0.653585,
0.48,3.40,0.7,0.9,0.769604,
0.34,3.40,0.6,0.8,1.67321,
0.34,3.40,0.8,3,0.160833,
0.12,3.40,0.4,0.6,0.4794,
