#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ004624.5+420429.5XMMXCSJ0046.4+4204| 11.602083  42.074861|1.0443100e+04|  0.30|Lit |X-ray|  6.90|  0.60|  0.60|RX J0046.4+4204              |dss|na|  6.988530|  0.270483|  0.252942| 1002|  47|   47|  6.992960|  0.270756|  0.253214| 1520|  72|   71
XMMXCSJ004753.5+852715.5XMMXCSJ0047.8+8527| 11.972917  85.454306|6.0990600e+02|  0.31|NXS |phot |  6.80|  1.50|  2.50|XMMU J004751.7+852722        |NXS|s |  0.622813|  0.103262|  0.113699|  984| 131|  189|  0.872985|  0.171840|  0.199366| 1493| 199|  287
XMMXCSJ005545.8+003840.8XMMXCSJ0055.7+0038| 13.940833   0.644667|2.1653900e+02|  0.12|S82 |phot |  1.00|  0.10|  0.30|SBV2004 RS 21                |S82|s |  0.037237|  0.015180|  0.020275|  396|  29|   55|  0.040722|  0.016855|  0.023032|  601|  45|   84
XMMXCSJ005603.0-373248.0XMMXCSJ0056.0-3732| 14.012500 -37.546667|1.3421900e+04|  0.16|Lit |spec |  5.20|  0.20|  0.30|400d J0056-3732              |dss|na|  1.275910|  0.037200|  0.032931|  977|  25|   30|  1.287490|  0.037744|  0.033450| 1482|  38|   46
XMMXCSJ005655.4-221406.3XMMXCSJ0056.9-2214| 14.230833 -22.235083|4.7620400e+02|  0.12|Lit |spec |  1.80|  0.10|  0.20|400d J0056-2213              |dss|na|  0.061782|  0.012013|  0.014365|  560|  24|   41|  0.065784|  0.013945|  0.017387|  849|  37|   62
XMMXCSJ005656.6-274031.9XMMXCSJ0056.9-2740| 14.235833 -27.675528|3.2586400e+02|  0.56|Lit |spec |  3.50|  1.20|  1.60|Cl 0054-2756                 |dss|na|  0.897833|  0.433920|  0.440039|  514|  67|   94|  0.912591|  0.448675|  1.651080|  779| 102|  142
XMMXCSJ005730.1+301321.6XMMXCSJ0057.5+3013| 14.375417  30.222667|2.5262000e+02|  0.12|Lit |spec |  2.90|  0.60|  1.90|WARP J0057.4+3012            |dss|na|  0.086978|  0.039752|  0.071787|  735|  97|  239|  0.120319|  0.062709|  0.125697| 1115| 147|  362
XMMXCSJ010422.4-063004.5XMMXCSJ0104.3-0630| 16.093333  -6.501250|1.4643100e+02|  0.95|Lit |spec |-99.00|-99.00|-99.00|XMMU J0104.4-0630            |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ010608.4+005031.4XMMXCSJ0106.1+0050| 16.535000   0.842056|4.1621000e+02|  0.25|S82 |phot |  2.60|  0.50|  0.50|CXOMP J010607.0+004943       |S82|g |  1.079850|  0.638208|  0.366779|  606|  62|   62|  1.816330|  1.374480|  1.138860|  919|  94|   94
XMMXCSJ010658.7+320934.0XMMXCSJ0106.9+3209| 16.744583  32.159444|6.1208700e+02|  0.11|Lit |spec |  3.50|  0.70|  1.00|400d J0106+3209              |dss|na|  0.768829|  0.262149|  0.159688|  815| 105|  123|  1.142860|  0.393837|  0.245057| 1236| 159|  187
XMMXCSJ010720.2+141604.2XMMXCSJ0107.3+1416| 16.834167  14.267833|3.3345800e+03|  0.07|LRG |spec |  3.00|  0.40|  0.50|SDSS-C4 2049                 |DR7|s |  0.090621|  0.061663|  0.185035|  780|  67|   74|  0.122636|  0.093652|  0.313250| 1183| 103|  112
XMMXCSJ010858.7+132557.7XMMXCSJ0108.9+1325| 17.244583  13.432694|9.0295200e+02|  0.15|LRG |spec |  3.20|  0.60|  0.60|SHK 037                      |DR7|g |  0.591597|  0.524390|  0.832072|  754|  90|   82|  0.776648|  0.709439|  1.656100| 1143| 137|  125
XMMXCSJ011023.8+330544.1XMMXCSJ0110.3+3305| 17.599167  33.095583|5.8672800e+02|  0.60|NXS |phot |  5.20|  1.00|  1.20|                             |NXS|g |  2.713240|  0.495020|  0.850806|  613|  70|   78|  3.897690|  1.371100|  2.174360|  930| 107|  119
XMMXCSJ011111.6+390438.9XMMXCSJ0111.1+3904| 17.798333  39.077472|1.6227700e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ011140.3-453908.0XMMXCSJ0111.6-4539| 17.917917 -45.652222|9.1375300e+02|  0.37|Spec|spec |  2.50|  0.40|  0.60|                             |NXS|g |  0.630157|  0.298704|  0.263950|  524|  53|   69|  0.909927|  0.493798|  0.756772|  795|  81|  105
XMMXCSJ011624.2+325717.0XMMXCSJ0116.4+3257| 19.100833  32.954722|1.5226800e+02|  0.45|NXS |phot |  1.40|  0.20|  0.30|                             |NXS|g |  0.321154|  0.108733|  0.109149|  350|  24|   44|  0.449230|  0.193061|  0.392118|  531|  37|   67
XMMXCSJ011632.1+330325.0XMMXCSJ0116.5+3303| 19.133750  33.056944|4.2323000e+02|  0.64|NXS |phot |  5.60|  1.10|  1.80|                             |NXS|g |  3.226900|  0.544929|  0.533033|  612|  71|  107|  3.693210|  1.001330|  1.400560|  929| 108|  162
XMMXCSJ011922.6-011011.7XMMXCSJ0119.3-0110| 19.844167  -1.169917|1.4591300e+02|  0.15|S82 |phot |  1.00|  0.30|  0.30|SDSS CE J019.844770-01.170951|S82|s |  0.030367|-99.000000|-99.000000|  387|  78|   70|  0.028725|-99.000000|-99.000000|  387|  78|   70
