#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ074725.2+310146.5XMMXCSJ0747.4+3101|116.855000  31.029583|1.4913600e+02|  0.41|DR7 |phot |  1.00|  0.10|  0.10|                             |DR7|s |  0.358555|  0.209097|  0.093349|  299|  22|   19|  0.360274|  0.121781|  0.284540|  453|  34|   30
XMMXCSJ075053.1+500316.7XMMXCSJ0750.8+5003|117.721250  50.054639|2.5557400e+02|  0.42|LRG |spec |  3.90|  1.00|  1.70|                             |DR7|s |  2.237560|  1.473700|  0.533046|  637| 103|  147|  4.108050|  3.343960|  1.952080|  966| 156|  223
XMMXCSJ075427.8+220950.9XMMXCSJ0754.4+2209|118.615833  22.164139|2.8415100e+02|  0.40|LRG |spec |  4.70|  1.30|  2.40|                             |NXS|g |  1.209320|  0.422585|  0.992857|  792| 162|  229|  1.231830|  0.422865|  0.989007| 1201| 246|  348
XMMXCSJ075724.8+392047.7XMMXCSJ0757.4+3920|119.353333  39.346583|2.0094200e+02|  0.10|LRG |spec |  1.40|  0.10|  0.20|ABELL 0607                   |DR7|s |  0.181751|  0.036521|  0.042887|  487|  20|   49|  0.312346|  0.074060|  0.091584|  739|  30|   75
XMMXCSJ075839.1+351939.7XMMXCSJ0758.6+3519|119.662917  35.327694|5.6991400e+02|  0.17|LRG |spec |  1.60|  0.40|  0.40|                             |DR7|s |  0.250248|  0.213195|  0.138767|  497|  70|   65|  0.446591|  0.409534|  0.335447|  754| 107|   99
XMMXCSJ080612.6+152309.0XMMXCSJ0806.2+1523|121.552500  15.385833|6.8555200e+01|  0.41|Spec|spec |  2.00|  0.50|  0.70|                             |NXS|s |  0.192059|  0.082573|  0.053691|  438|  61|   80|  0.286976|  0.154645|  0.129393|  665|  93|  121
XMMXCSJ080633.7+153208.6XMMXCSJ0806.5+1532|121.640417  15.535722|1.9147600e+02|  0.28|LRG |spec |  1.40|  0.10|  0.20|                             |NXS|s |  0.162030|  0.102150|  0.131775|  413|  23|   34|  0.269185|  0.185783|  0.134105|  627|  35|   52
XMMXCSJ080712.8+152701.5XMMXCSJ0807.2+1527|121.803333  15.450417|1.1374800e+03|  0.11|NXS |phot |  1.70|  0.30|  0.50|MaxBCG J121.81094+15.45007   |NXS|g |  0.029896|  0.022288|  0.038688|  536|  49|   87|  0.039962|  0.032354|  0.079307|  813|  75|  132
XMMXCSJ081918.6+705457.5XMMXCSJ0819.3+7054|124.827500  70.915972|1.3241700e+03|  0.23|Lit |spec |  3.00|  0.60|  0.80|WARP J0819.3+7054            |dss|na|  0.351580|  0.229621|  0.240592|  666|  76|   99|  0.485289|  0.362093|  0.624976| 1010| 116|  151
XMMXCSJ082135.1+010232.0XMMXCSJ0821.5+0102|125.396250   1.042222|5.0759400e+02|  0.13|DR7 |phot |  1.70|  0.10|  0.10|                             |DR7|s |  0.081683|  0.006599|  0.007786|  529|  23|   21|  0.081741|  0.006608|  0.007793|  802|  35|   32
XMMXCSJ083025.9+524128.4XMMXCSJ0830.4+5241|127.607917  52.691222|3.6735300e+03|  0.99|Lit |X-ray|  6.30|  0.60|  0.60|2XMM J083026+524133          |NXS|s |  9.746750|  4.491330|  0.726945|  440|  25|   23| 14.484200|  1.427410|  0.763613|  667|  37|   36
XMMXCSJ083115.0+523453.9XMMXCSJ0831.2+5234|127.812500  52.581639|3.5619000e+02|  0.52|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ083147.8+525036.6XMMXCSJ0831.7+5250|127.949167  52.843500|6.6945700e+02|  0.45|NXS |phot |  5.00|  0.90|  0.80|                             |NXS|g |  0.655058|  0.101670|  0.123289|  712|  72|   64|  1.137410|  0.243169|  0.343205| 1080| 109|   97
XMMXCSJ083454.8+553420.9XMMXCSJ0834.9+5534|128.728333  55.572472|4.2778000e+03|  0.24|LRG |spec |  3.90|  0.40|  0.40|4C +55.16 Cluster            |DR7|g |  9.641180|  2.717540|  1.478540|  773|  46|   42|  9.663240|  2.738790|  2.745900| 1172|  70|   64
XMMXCSJ083724.4+553249.8XMMXCSJ0837.4+5532|129.351667  55.547167|1.3563200e+02|  0.28|DR7 |phot |  5.20|  2.10|  8.50|MaxBCG J129.35330+55.54785   |DR7|s |  0.527313|  0.272917|  0.348688|  874| 221|  642|  0.650904|  0.372289|  0.547664| 1326| 335|  973
XMMXCSJ083855.9+253803.9XMMXCSJ0838.9+2538|129.732917  25.634417|7.6676000e+01|  0.91|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ083900.1+704959.8XMMXCSJ0839.0+7049|129.750417  70.833278|9.9110900e+01|  0.44|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ084044.2+383050.3XMMXCSJ0840.7+3830|130.184167  38.513972|4.0945900e+02|  0.15|DR7 |phot |  1.10|  0.10|  0.20|ZwCl 0837.5+3845             |DR7|s |  0.070604|  0.047362|  0.046222|  416|  27|   31|  0.079071|  0.055679|  0.075427|  631|  41|   47
XMMXCSJ084052.5+383845.5XMMXCSJ0840.8+3838|130.218750  38.645972|3.5866100e+02|  0.12|LRG |spec |  1.60|  0.30|  0.40|ZwCl 0837.5+3845             |DR7|s |  0.077794|  0.060253|  0.094881|  525|  50|   62|  0.130317|  0.112612|  0.178204|  796|  75|   94
XMMXCSJ084124.4+004637.7XMMXCSJ0841.4+0046|130.351667   0.777139|5.7789200e+02|  0.41|DR7 |phot |  3.10|  0.50|  0.60|                             |DR7|s |  0.645202|  0.097272|  0.101754|  565|  56|   55|  0.665714|  0.117272|  0.145045|  857|  85|   84
XMMXCSJ084701.4+345112.8XMMXCSJ0847.0+3451|131.755833  34.853556|4.7082800e+02|  0.43|DR7 |phot |  2.60|  0.50|  0.30|                             |DR7|s |  0.586409|  0.065316|  0.070792|  496|  55|   37|  0.796496|  0.111298|  0.121114|  753|  84|   56
XMMXCSJ084711.2+344842.4XMMXCSJ0847.1+3448|131.796667  34.811778|1.4940900e+03|  0.56|Lit |spec |  5.60|  0.50|  0.70|RX J0847.1+3449              |DR7|s |  5.146150|-99.000000|-99.000000|  671|  34|   47|  4.854860|-99.000000|-99.000000| 1017|  53|   71
XMMXCSJ084834.8+445341.9XMMXCSJ0848.5+4453|132.145000  44.894972|9.6041600e+01|  1.27|Lit |spec |  1.70|  0.30|  0.50|Lynx W                       |dss|na|  0.324278|  0.125178|  0.180129|  152|  15|   22|  0.629912|  0.177606|  0.211051|  230|  23|   34
XMMXCSJ084848.1+445606.3XMMXCSJ0848.8+4456|132.200417  44.935083|8.8439500e+02|  0.57|Lit |spec |  4.20|  0.60|  0.60|WARP J0848.8+4456            |DR7|s |  1.012540|  0.083002|  0.079544|  560|  44|   46|  1.142260|  0.143935|  0.158393|  849|  67|   70
XMMXCSJ085741.3+090109.0XMMXCSJ0857.6+0901|134.422083   9.019167|5.8636600e+01|  0.15|NXS |phot |  3.00|  1.00|  2.70|                             |NXS|s |  0.091036|  0.057795|  0.143798|  738| 149|  314|  0.093868|  0.060617|  0.188934| 1120| 226|  477
XMMXCSJ090101.5+600606.2XMMXCSJ0901.0+6006|135.256250  60.101722|1.3794100e+03|  0.29|Lit |phot |  5.90|  1.40|  2.90|MaxBCG J135.25325+60.10133   |DR7|s | 10.875800|  1.716210|  2.003030|  927| 131|  237| 19.091800|  3.163610|  3.856340| 1407| 198|  360
XMMXCSJ091609.0+302718.1XMMXCSJ0916.1+3027|139.037500  30.455028|2.9469500e+02|  0.59|DR7 |phot |  5.70|  1.40|  2.10|                             |DR7|s |  1.736360|  0.321248|  0.214590|  652|  97|  130|  2.249230|  0.528821|  0.441732|  989| 147|  198
XMMXCSJ091821.9+211446.0XMMXCSJ0918.3+2114|139.591250  21.246111|2.8881100e+02|  1.01|Spec|spec |  8.30|  2.90|  5.30|                             |NXS|na|  2.146430|  0.510471|  0.526666|  503| 109|  164|  3.130640|  0.634563|  0.531478|  764| 166|  249
XMMXCSJ091836.8+515041.2XMMXCSJ0918.6+5150|139.653333  51.844778|1.1220500e+02|  0.44|LRG |spec |  2.90|  0.90|  1.90|                             |DR7|s |  0.507675|  0.352086|  0.331613|  530| 105|  182|  0.681515|  0.525432|  0.776041|  803| 159|  277
XMMXCSJ092018.9+370617.7XMMXCSJ0920.3+3706|140.078750  37.104917|2.8579200e+04|  0.21|DR7 |phot |  2.60|  0.10|  0.10|MaxBCG J140.07821+37.10510   |DR7|g |  2.369360|  0.038831|  0.036026|  626|   7|    7|  2.552570|  0.050331|  0.047583|  949|  10|   10
XMMXCSJ092052.4+302804.8XMMXCSJ0920.8+3028|140.218333  30.468000|1.3323600e+03|  0.29|LRG |spec |  3.50|  0.30|  0.30|CXOU J092053+302800          |DR7|g |  1.607450|  0.078934|  0.066358|  691|  32|   35|  1.634980|  0.082623|  0.070246| 1048|  48|   53
XMMXCSJ092059.2+303418.6XMMXCSJ0920.9+3034|140.246667  30.571833|1.4510300e+02|  0.26|DR7 |phot |  0.40|  0.10|  0.10|                             |DR7|s |  0.024293|  0.005851|  0.008056|  197|  19|   18|  0.044306|  0.022029|  0.023491|  299|  28|   28
XMMXCSJ092111.0+302758.2XMMXCSJ0921.1+3027|140.295833  30.466167|6.2014400e+02|  0.43|Lit |spec |  4.40|  0.50|  0.60|CXOU J092110+302751          |DR7|b |  2.940120|  0.233863|  0.229157|  676|  43|   52|  3.130990|  0.277565|  0.282126| 1025|  65|   79
XMMXCSJ092114.5+370131.3XMMXCSJ0921.2+3701|140.310417  37.025361|3.2094400e+02|  0.29|DR7 |phot |  0.60|  0.10|  0.10|                             |DR7|s |  0.044965|  0.016125|  0.010406|  254|  36|   16|  0.087927|  0.058994|  0.039324|  386|  55|   24
XMMXCSJ092325.4+225645.7XMMXCSJ0923.4+2256|140.855833  22.946028|7.1253800e+02|  0.19|LRG |spec |  8.50|  3.00|  6.00|MaxBCG J140.85564+22.94378   |DR7|s |  1.367580|  0.496985|  0.501677| 1268| 279|  454|  1.913070|  0.778639|  0.806650| 1922| 424|  689
XMMXCSJ092540.0+362711.1XMMXCSJ0925.6+3627|141.416667  36.453083|3.4327200e+03|  0.11|LRG |spec |  3.00|  0.40|  0.60|RCS J092540+3626.8           |DR7|s |  0.646757|  0.487888|  0.377800|  753|  62|   77|  1.033070|  0.872169|  0.865631| 1142|  94|  117
XMMXCSJ092544.4+305431.9XMMXCSJ0925.7+3054|141.435000  30.908861|1.1586800e+02|  0.41|NXS |phot |  1.30|  0.20|  0.30|                             |NXS|s |  0.290750|  0.123099|  0.142686|  342|  38|   40|  0.614024|  0.399016|  0.420138|  519|  57|   61
XMMXCSJ092545.7+305856.9XMMXCSJ0925.7+3058|141.440417  30.982472|1.0146200e+03|  0.52|NXS |phot |  5.80|  1.00|  1.50|                             |NXS|g |  3.214500|  0.450750|  0.475932|  717|  72|  100|  3.718370|  0.695323|  0.803932| 1087| 110|  152
XMMXCSJ092641.4+310308.8XMMXCSJ0926.6+3103|141.672500  31.052444|1.1213500e+02|  0.67|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ092650.7+310127.3XMMXCSJ0926.8+3101|141.711250  31.024250|4.2074900e+02|  0.49|NXS |phot |  3.50|  0.90|  1.90|                             |NXS|s |  0.606239|  0.166187|  0.085230|  551|  91|  152|  0.708966|  0.268280|  0.119007|  836| 138|  231
XMMXCSJ092659.0+361219.1XMMXCSJ0926.9+3612|141.745833  36.205306|1.7947400e+02|  0.49|Lit |phot |-99.00|-99.00|-99.00|RCS J092658+3612.1           |DR7|b |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ092703.2+310039.2XMMXCSJ0927.0+3100|141.763333  31.010889|1.3521500e+02|  0.48|NXS |phot |  3.70|  1.30|  2.60|                             |NXS|s |  0.488011|  0.343154|  0.451491|  579| 128|  202|  0.767727|  0.614488|  1.095660|  879| 195|  306
XMMXCSJ093205.6+473314.1XMMXCSJ0932.0+4733|143.023333  47.553917|2.8169400e+02|  0.22|LRG |spec |  2.50|  0.50|  1.10|MaxBCG J143.01990+47.55526   |DR7|s |  0.247348|  0.106251|  0.333375|  597|  76|  142|  0.278684|  0.137524|  0.587496|  905| 115|  215
XMMXCSJ093259.2+551543.8XMMXCSJ0932.9+5515|143.246667  55.262167|2.8760600e+02|  0.10|H11 |phot |  0.60|  0.10|  0.10|                             |NXS|s |  0.016567|  0.004249|  0.004601|  314|  14|   14|  0.026053|  0.007335|  0.008378|  477|  21|   21
XMMXCSJ093350.2+552620.1XMMXCSJ0933.8+5526|143.459167  55.438917|1.8727700e+02|  0.49|NXS |phot |  2.10|  0.40|  0.60|                             |NXS|s |  2.021410|  1.741800|  0.335827|  419|  44|   60|  2.024270|  1.519000|  0.336293|  635|  66|   91
XMMXCSJ093449.2+551023.5XMMXCSJ0934.8+5510|143.705000  55.173194|7.3054600e+01|  0.55|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ093709.3+611616.2XMMXCSJ0937.1+6116|144.288750  61.271167|4.9747500e+02|  0.21|LRG |spec |  1.50|  0.20|  0.30|MaxBCG J144.28663+61.27052   |DR7|s |  0.169811|  0.122613|  0.085270|  460|  36|   44|  0.311611|  0.264387|  0.209432|  697|  55|   67
XMMXCSJ093722.2+611416.7XMMXCSJ0937.3+6114|144.342500  61.237972|8.3093000e+01|  0.20|Lit |spec |  3.90|  1.40|  3.80|WARP J0937.1+6116            |dss|na|  0.050723|  0.021113|  0.016683|  798| 174|  384|  0.051165|  0.021319|  0.016878| 1211| 264|  583
XMMXCSJ093945.5+360057.8XMMXCSJ0939.7+3600|144.939583  36.016056|1.3882700e+02|  0.36|DR7 |phot |-99.00|-99.00|-99.00|                             |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ094034.6+355950.0XMMXCSJ0940.5+3559|145.144167  35.997222|2.8912200e+02|  0.31|DR7 |phot |  1.40|  0.10|  0.40|                             |DR7|s |  0.169275|  0.031929|  0.173482|  394|  23|   67|  0.180670|  0.026857|  0.168565|  597|  34|  101
XMMXCSJ094311.2+480956.1XMMXCSJ0943.1+4809|145.796667  48.165583|1.8075200e+02|  0.28|DR7 |phot |  2.00|  0.40|  0.60|                             |DR7|s |  0.252000|  0.043345|  0.046679|  505|  67|   77|  0.490071|  0.104458|  0.117285|  766| 102|  118
XMMXCSJ094332.3+163954.9XMMXCSJ0943.5+1639|145.884583  16.665250|8.5844200e+02|  0.25|LRG |spec |  3.40|  0.50|  0.70|XDCS cm J094329.3+163916     |DR7|s |  0.847612|  0.690961|  1.158780|  697|  63|   72|  1.126990|  0.970317|  2.677200| 1058|  96|  110
XMMXCSJ094358.2+164120.7XMMXCSJ0943.9+1641|145.992500  16.689083|1.4753200e+02|  0.25|LRG |spec |  1.50|  0.20|  0.40|                             |DR7|s |  0.109373|  0.100619|  0.023758|  434|  41|   67|  0.118795|  0.109413|  0.028065|  659|  63|  102
XMMXCSJ094530.5+094631.1XMMXCSJ0945.5+0946|146.377083   9.775306|1.6763100e+02|  0.22|LRG |spec |  1.80|  0.30|  0.40|MaxBCG J146.37949+09.77629   |DR7|s |  0.127175|  0.105707|  0.157336|  504|  55|   66|  0.199202|  0.177704|  0.370715|  764|  84|  100
XMMXCSJ095105.7+391742.9XMMXCSJ0951.0+3917|147.773750  39.295250|7.6708400e+01|  0.47|Spec|spec |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ095343.6+694735.0XMMXCSJ0953.7+6947|148.431667  69.793056|2.2905300e+03|  0.21|Lit |spec |  5.70|  0.70|  1.10|400d J0953+6947              |DR7|g |  0.839136|  0.477702|  1.862990|  977|  76|  101|  1.010450|  0.648995|  2.981230| 1482| 116|  153
XMMXCSJ095603.5+410707.1XMMXCSJ0956.0+4107|149.014583  41.118639|2.9694600e+02|  0.59|Lit |spec |  4.30|  1.30|  2.30|400d J0956+4107              |DR7|s |  2.373400|  0.551382|  0.448154|  557| 106|  156|  2.625660|  0.664400|  0.598899|  844| 160|  236
XMMXCSJ095610.9-002157.8XMMXCSJ0956.1-0021|149.045417  -0.366056|2.9912000e+02|  0.54|DR7 |phot |  3.20|  0.60|  0.80|                             |DR7|s |  0.675276|  0.141807|  0.115211|  500|  57|   70|  1.301780|  0.674775|  0.635663|  758|  87|  106
XMMXCSJ095737.1+023425.1XMMXCSJ0957.6+0234|149.404583   2.573639|3.1081800e+03|  0.37|LRG |spec |  4.70|  0.50|  0.70|SAB2007 LSS 26               |DR7|s |  2.589620|  0.197382|  0.200591|  748|  44|   58|  2.625230|  0.204259|  0.208638| 1134|  67|   88
XMMXCSJ095901.3+024740.5XMMXCSJ0959.0+0247|149.755417   2.794583|2.9553600e+02|  0.49|LRG |spec |-99.00|-99.00|-99.00|FGH2007 120                  |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ095904.2+023814.3XMMXCSJ0959.0+0238|149.767500   2.637306|9.1263500e+01|  0.08|Lit |phot |-99.00|-99.00|-99.00|FGH2007 117                  |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ095924.7+014616.3XMMXCSJ0959.4+0146|149.852917   1.771194|7.3203600e+02|  0.12|LRG |spec |  1.30|  0.10|  0.10|FGH2007 113                  |DR7|s |  0.084934|  0.040023|  0.052589|  463|  14|   13|  0.135482|  0.075103|  0.119573|  702|  21|   19
XMMXCSJ095931.8+052616.8XMMXCSJ0959.5+0526|149.882500   5.438000|2.6107000e+02|  0.25|DR7 |phot |  4.10|  1.20|  2.60|                             |DR7|s |  0.550110|-99.000000|-99.000000|  784| 140|  253|  0.518970|-99.000000|-99.000000| 1189| 212|  384
XMMXCSJ095940.8+023111.3XMMXCSJ0959.6+0231|149.920000   2.519806|1.0053100e+03|  0.72|Spec|spec |  7.30|  0.80|  1.40|SL J0959.6+0231              |DR7|na|  3.189600|  0.189831|  0.176930|  649|  41|   66|  4.775470|  0.469450|  0.465478|  984|  63|  101
XMMXCSJ095946.9+025521.9XMMXCSJ0959.7+0255|149.945417   2.922750|5.1219000e+01|  0.13|Lit |phot |-99.00|-99.00|-99.00|FGH2007 104                  |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ095951.4+014052.1XMMXCSJ0959.8+0140|149.964167   1.681139|6.2986100e+02|  0.37|Lit |phot |  2.50|  0.20|  0.30|FGH2007 099                  |DR7|b |  0.510786|  0.044669|  0.044999|  520|  25|   29|  0.552422|  0.061627|  0.067359|  789|  38|   44
XMMXCSJ095957.6+251629.0XMMXCSJ0959.9+2516|149.990000  25.274722|1.6575500e+03|  0.10|DR7 |phot |  1.40|  0.05|  0.05|                             |NXS|s |  0.064902|  0.010623|  0.012199|  490|   9|    9|  0.074525|  0.014540|  0.017372|  743|  14|   13
XMMXCSJ100012.3+021246.7XMMXCSJ1000.2+0212|150.051250   2.212972|8.3218100e+01|  0.24|Lit |phot |-99.00|-99.00|-99.00|CFHTLS CL J100014+021224     |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ100022.8+021156.2XMMXCSJ1000.3+0211|150.095000   2.198944|5.2598300e+01|  0.93|Lit |phot |  2.10|  0.60|  1.90|FGH2007 084                  |dss|na|  0.306910|  0.112043|  0.098409|  253|  44|  112|  0.630484|  0.375914|  0.235570|  384|  66|  170
XMMXCSJ100029.2+024137.4XMMXCSJ1000.4+0241|150.121667   2.693722|5.4315100e+02|  0.35|Lit |phot |  6.80|  2.00|  4.10|FGH2007 079                  |DR7|s |  0.456813|-99.000000|-99.000000|  941| 171|  292|  0.433830|-99.000000|-99.000000|  941| 171|  292
XMMXCSJ100043.2+014607.7XMMXCSJ1000.7+0146|150.180000   1.768806|1.7666500e+02|  0.35|LRG |spec |-99.00|-99.00|-99.00|FGH2007 070                  |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ100047.4+013926.9XMMXCSJ1000.7+0139|150.197500   1.657472|2.7709400e+03|  0.22|LRG |spec |  3.30|  0.20|  0.20|FGH2007 067                  |DR7|g |  0.953480|  0.079065|  0.077329|  715|  25|   24|  1.377250|  0.145641|  0.147621| 1085|  38|   37
XMMXCSJ100053.2+022831.6XMMXCSJ1000.8+0228|150.221667   2.475444|5.9298900e+01|  0.30|Lit |phot |  3.40|  1.20|  4.00|FGH2007 064                  |dss|na|  0.029243|-99.000000|-99.000000|  673| 152|  376|  0.027779|-99.000000|-99.000000|  673| 152|  376
XMMXCSJ100059.9+683944.9XMMXCSJ1000.9+6839|150.249583  68.662472|7.2033600e+02|  0.47|DR7 |phot |  5.40|  0.90|  1.30|                             |DR7|s |  1.218680|  0.550641|  0.364580|  727|  75|   94|  1.791250|  1.122960|  0.854681| 1103| 114|  142
XMMXCSJ100115.5+250611.5XMMXCSJ1001.2+2506|150.314583  25.103194|3.2999600e+02|  0.76|Spec|spec |  2.20|  0.40|  0.60|                             |NXS|g |  0.640153|  0.290479|  0.397634|  315|  35|   49|  0.902458|  0.400876|  0.321743|  478|  54|   75
XMMXCSJ100116.2+021655.9XMMXCSJ1001.2+0216|150.317500   2.282194|8.3352400e+01|  0.12|Lit |phot |  1.00|  0.40|  0.70|FGH2007 058                  |dss|na|  0.012000|  0.012000|  0.007981|  403| 104|  146|  0.012759|  0.012759|  0.008938|  611| 158|  221
XMMXCSJ100141.7+022539.8XMMXCSJ1001.6+0225|150.423750   2.427722|2.3272200e+03|  0.12|LRG |spec |  1.43|  0.03|  0.06|CFHTLS CL J100142+022510     |DR7|s |  0.061519|  0.006386|  0.007211|  485|   6|    9|  0.067943|  0.008828|  0.010386|  736|   9|   13
XMMXCSJ100201.7+021332.8XMMXCSJ1002.0+0213|150.507083   2.225778|9.0884300e+02|  0.83|Spec|spec |  6.00|  0.70|  1.10|CFHTLS CL J100201+021330     |DR7|na|  2.905650|  0.202312|  0.169849|  512|  37|   49|  4.587840|  0.321501|  0.270762|  777|  56|   75
XMMXCSJ101041.8+554208.5XMMXCSJ1010.6+5542|152.674167  55.702361|2.3508000e+02|  0.20|DR7 |phot |  0.90|  0.10|  0.20|                             |DR7|s |  0.011466|  0.004241|  0.005563|  352|  19|   33|  0.011916|  0.004529|  0.006264|  533|  29|   51
XMMXCSJ101056.3+555711.5XMMXCSJ1010.9+5557|152.734583  55.953194|2.4841000e+02|  0.17|Lit |spec |  1.10|  0.10|  0.20|WARP J1010.9+5557            |DR7|b |  0.084078|  0.028823|  0.170072|  404|  16|   38|  0.135298|  0.076306|  0.204833|  613|  25|   57
XMMXCSJ101507.8+493151.5XMMXCSJ1015.1+4931|153.782500  49.530972|4.1332100e+02|  0.38|Lit |spec |  1.30|  0.30|  0.60|RX J1015.1+4931              |DR7|s |  0.210410|-99.000000|-99.000000|  356|  49|   86|  0.198500|-99.000000|-99.000000|  540|  75|  130
XMMXCSJ101931.4+080344.5XMMXCSJ1019.5+0803|154.880833   8.062361|4.4155900e+02|  0.16|LRG |spec |  2.70|  0.60|  1.00|MaxBCG J154.88074+08.06467   |NXS|g |  0.272607|  0.178786|  0.301092|  673|  84|  130|  0.308974|  0.214727|  0.610449| 1021| 127|  198
XMMXCSJ102133.7+213748.8XMMXCSJ1021.5+2137|155.390417  21.630222|1.1659500e+03|  0.19|LRG |spec |  1.90|  0.20|  0.30|                             |DR7|s |  0.244512|  0.137977|  0.371641|  540|  27|   40|  0.285671|  0.179123|  0.894739|  819|  41|   61
XMMXCSJ102136.9+125643.2XMMXCSJ1021.6+1256|155.403750  12.945333|1.0905500e+02|  0.33|Spec|spec |  2.40|  0.50|  0.90|                             |DR7|s |  0.300318|  0.146417|  0.244267|  540|  72|  105|  0.418867|  0.261852|  0.615888|  819| 110|  159
XMMXCSJ102400.4+040222.6XMMXCSJ1024.0+0402|156.001667   4.039611|2.6134100e+02|  0.48|DR7 |phot |  2.00|  0.20|  0.20|BLOX J1024.0+0402.2          |DR7|s |  0.269001|  0.133672|  0.109871|  410|  27|   27|  0.352123|  0.216657|  0.676736|  622|  42|   42
XMMXCSJ102539.7+470512.6XMMXCSJ1025.6+4705|156.415417  47.086833|1.3795700e+02|  0.19|LRG |spec |  1.60|  0.40|  1.20|                             |DR7|s |  0.055068|  0.020810|  0.033764|  490|  78|  187|  0.068177|  0.030343|  0.051079|  743| 118|  284
XMMXCSJ102711.1-031905.2XMMXCSJ1027.1-0319|156.796250  -3.318111|4.3766900e+03|-99.00|DR7 |phot |-99.00|-99.00|-99.00|WBL 272                      |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ103007.0+051950.7XMMXCSJ1030.1+0519|157.529167   5.330750|6.2716200e+02|  0.21|DR7 |phot |  1.60|  0.10|  0.10|                             |DR7|s |  0.104157|  0.087160|  0.039682|  485|  21|   19|  0.120100|  0.103098|  0.174116|  736|  32|   30
XMMXCSJ103041.3+650813.2XMMXCSJ1030.6+6508|157.672083  65.137000|2.8259900e+02|  0.20|LRG |spec |  3.80|  1.20|  3.90|                             |DR7|s |  0.654680|  0.585814|  0.404444|  788| 158|  396|  1.112390|  1.043510|  0.718017| 1196| 239|  601
XMMXCSJ103100.1+305134.9XMMXCSJ1031.0+3051|157.750417  30.859694|1.1038000e+03|  0.14|Lit |phot |  2.00|  0.40|  0.30|MaxBCG J157.75753+30.86197   |DR7|b |  0.196035|  0.130452|  0.245816|  584|  68|   40|  0.242198|  0.176610|  0.545837|  886| 103|   60
XMMXCSJ103131.5+311317.2XMMXCSJ1031.5+3113|157.881250  31.221444|3.1408800e+02|  0.37|LRG |spec |  5.80|  2.20|  8.70|                             |DR7|s |  0.337520|  0.191295|  0.167389|  844| 204|  578|  0.394250|  0.246979|  0.357106| 1280| 309|  877
XMMXCSJ103254.0+501738.7XMMXCSJ1032.8+5017|158.225000  50.294083|1.2942900e+02|-99.00|DR7 |phot |-99.00|-99.00|-99.00|                             |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
