     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.11,178.8540128,0.284593,0.380075,1.8,1.335503683,0.748781162,,,
0.22,74.9895588,0.095226244,0.127175,1.8,1.335503683,0.748781162,,,
0.16,110.969736,0.151786927,0.202712,1.8,1.335503683,0.748781162,,,
0.07,65.73208053,0.048472349,0.064735,1.8,1.335503683,0.748781162,,,
0.42,119.6112983,0.348378672,0.465261,1.8,1.335503683,0.748781162,,,
0.18,32.41635082,0.02141589,0.028601,1.8,1.335503683,0.748781162,,,
0.65,65.73896306,0.220759406,0.294825,1.8,1.335503683,0.748781162,,,
0.35,125.5350174,0.315964685,0.421972,1.8,1.335503683,0.748781162,,,
0.21,97.22684074,0.141649179,0.189173,1.8,1.335503683,0.748781162,,,
0.1,48.82677504,0.032792122,0.043794,1.8,1.335503683,0.748781162,,,
0.49,168.836902,0.725595154,0.969035,1.8,1.335503683,0.748781162,,,
0.66,157.251468,0.942517819,1.27744,1.9,1.355348381,0.737817681,,,
0.31,170.9230877,0.471779071,0.639425,1.9,1.355348381,0.737817681,,,
0.19,116.7561691,0.180405277,0.244512,1.9,1.355348381,0.737817681,,,
0.1,138.4197383,0.181106942,0.245463,1.9,1.355348381,0.737817681,,,
0.36,179.9497861,0.585235023,0.805044,2,1.375590949,0.726960293,,,
0.32,60.80220611,0.088947227,0.122355,2,1.375590949,0.726960293,,,
0.41,69.53195867,0.139619267,0.192059,2,1.375590949,0.726960293,,,
0.28,100.8715131,0.183193994,0.252,2,1.375590949,0.726960293,,,
0.48,77.00084891,0.195553046,0.269001,2,1.375590949,0.726960293,,,
0.14,110.821187,0.142509661,0.196035,2,1.375590949,0.726960293,,,
0.19,110.7490015,0.165435081,0.227571,2,1.375590949,0.726960293,,,
0.3,99.37102127,0.188713803,0.259593,2,1.375590949,0.726960293,,,
0.33,120.3858306,0.279975672,0.385132,2,1.375590949,0.726960293,,,
0.44,75.67916388,0.172697414,0.237561,2,1.375590949,0.726960293,,,
0.33,57.51158848,0.083363411,0.116395,2.1,1.396236048,0.716211275,,,
0.3,75.28128415,0.119691796,0.167118,2.1,1.396236048,0.716211275,,,
0.15,136.4670786,0.206720776,0.288631,2.1,1.396236048,0.716211275,,,
0.25,142.458759,0.296982735,0.414658,2.1,1.396236048,0.716211275,,,
0.49,257.2734258,1.447756633,2.02141,2.1,1.396236048,0.716211275,,,
0.93,46.92517462,0.219812402,0.30691,2.1,1.396236048,0.716211275,,,
0.27,257.4130622,0.828405771,1.15665,2.1,1.396236048,0.716211275,,,
0.23,101.9544801,0.162162408,0.226417,2.1,1.396236048,0.716211275,,,
0.28,70.38618133,0.101533691,0.141765,2.1,1.396236048,0.716211275,,,
0.41,174.4996318,0.631401833,0.881586,2.1,1.396236048,0.716211275,,,
0.11,86.06701798,0.085754841,0.119734,2.1,1.396236048,0.716211275,,,
0.2,125.4219101,0.208911667,0.29169,2.1,1.396236048,0.716211275,,,
0.37,187.0986584,0.640049893,0.907236,2.2,1.41744575,0.705494373,,,
0.76,88.62435485,0.451624339,0.640153,2.2,1.41744575,0.705494373,,,
0.34,98.39918468,0.206475627,0.292668,2.2,1.41744575,0.705494373,,,
0.29,74.77072529,0.115207231,0.1633,2.2,1.41744575,0.705494373,,,
0.44,96.40064762,0.256835932,0.364051,2.2,1.41744575,0.705494373,,,
0.44,105.898223,0.299627786,0.431202,2.3,1.439125543,0.69486641,,,
1.19,343.2798674,8.943625567,12.871,2.3,1.439125543,0.69486641,,,
0.43,141.0531009,0.467907059,0.673377,2.3,1.439125543,0.69486641,,,
0.08,23.37498611,0.009188219,0.013223,2.3,1.439125543,0.69486641,,,
0.32,205.4444845,0.655124221,0.942806,2.3,1.439125543,0.69486641,,,
0.46,102.1578251,0.296439739,0.426614,2.3,1.439125543,0.69486641,,,
0.34,124.5779597,0.304008919,0.437507,2.3,1.439125543,0.69486641,,,
0.24,218.406375,0.581924909,0.837463,2.3,1.439125543,0.69486641,,,
0.17,35.45061022,0.024072952,0.034644,2.3,1.439125543,0.69486641,,,
0.2,58.22293502,0.059345066,0.085405,2.3,1.439125543,0.69486641,,,
0.29,127.8274583,0.277602605,0.399505,2.3,1.439125543,0.69486641,,,
0.52,146.2785154,0.614956773,0.885,2.3,1.439125543,0.69486641,,,
0.2,98.13723984,0.139713315,0.201065,2.3,1.439125543,0.69486641,,,
0.27,107.1644978,0.196830544,0.287551,2.4,1.460906392,0.684506554,,,
0.22,205.9901776,0.499417351,0.729602,2.4,1.460906392,0.684506554,,,
0.33,99.71711145,0.205569639,0.300318,2.4,1.460906392,0.684506554,,,
